Name,Description,Path,,,,,,,,,,,,,
explainabiltiy_of_xgboosted_GxE_predictions,This calcualtes the shap values to have variable imporantce for the xgboosted trees.,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/explainabiltiy_of_xgboosted_GxE_predictions.R,,,,,,,,,,,,,
backup_saving_plotter_of_GxE_colocs,this creates the plots for colocs,/labs/smontgom/grps_smontgom/hkrupkin/Code/backup_saving_plotter_of_GxE_colocs.R,,,,,,,,,,,,,
creating_correlations_plot,This creates a correlations plot between the metabolic and proteomic MEMs,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/creating_correlations_plot.R,,,,,,,,,,,,,
backup_saving_plotter_of_GxE_colocsV2_main_effect,Thisi s what is used to plot the main effect colocs,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/coloc_and_viewV4_main_effect.R,,,,,,,,,,,,,
coloc_and_viewV4,This is what is actually run to calcualte the coloc values for the GxEs,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/coloc_and_viewV4.R,,,,,,,,,,,,,
coloc_and_viewV4_main_effect,This is what is actually run to calculate the colocs between the main effect Gs and the gwases,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/coloc_and_viewV4.sh,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,specific_example_EigenFeature_to_cell_type_to_pathway,Haim Krupkin,04/27/2026,"This script is used to identifiy a specific example with multiple steps of association, all the way from the metabolites found in the module/eigenFeature to the coloc and the genes associated with the eigenFeature via GxE analysis",,/labs/smontgom/grps_smontgom/hkrupkin/GxE/Code/specific_example_EigenFeature_to_cell_type_to_pathway.R,scg,GxE
